标题,x1坐标,y1坐标,x2坐标,y2坐标,,,,,,,,
单号 ,180,18,260,50,,,,,180,18,260,50
前实际温度 ,686,24,759,53,,,,,686,24,759,53
当前步设定温度,890,21,976,52,,,,,890,21,976,52
异常告警信息提示,1109,19,1202,53,,,,,1109,19,1202,53
布轮速度 ,86,298,246,324,,,,,86,298,246,324
缸内压力,33,328,143,359,,,,,33,328,143,359
已运行圈数,251,312,363,349,,,,,251,312,363,349
程序已运行时间,234,347,373,382,,,,,234,347,373,382
222222,421,266,580,293,,,,,421,266,580,293
主缸温度 ,386,349,514,383,,,,,386,349,514,383
 蒸汽阀门开度,463,398,568,424,,,,,463,398,568,424
副缸1水位,634,478,738,503,,,,,634,478,738,503
副缸1水位,632,509,738,535,,,,,632,509,738,535
副缸温度 ,632,540,738,567,,,,,632,540,738,567
主缸水位,323,632,417,663,,,,,323,632,417,663
主缸水位 ,299,667,412,702,,,,,299,667,412,702
主泵速度 ,390,732,519,760,,,,,390,732,519,760
料缸水位,806,584,904,610,,,,,806,584,904,610
料缸水位 ,800,605,910,640,,,,,800,605,910,640
料缸温度 ,806,634,904,663,,,,,806,634,904,663
管1实际圈时,940,154,1055,183,,,,,940,154,1055,183
管2实际圈时,940,195,1053,227,,,,,940,195,1053,227
管1设定圈时,1068,151,1186,186,,,,,1068,151,1186,186
管2设定圈时,1066,190,1185,225,,,,,1066,190,1185,225
主泵转速,470,700,557,728,,,,,470,700,557,728
